Date,,,,,,,,
Contributor,John Bapst Class 2018,,,,,,,
,,,,,,,,
V1,,,V2,,,V3,,
Species,Start distance,End distance,Species,Start distance,End distance,Species,Start distance,End distance
BR,0,0.3,UL,0,0.1,UL,0,0.15
UL,0.3,0.6,BR,0.1,2.25,BR,0.15,0.3
BR,0.6,0.61,UL,2.25,2.26,UL,0.3,0.55
UL,0.61,0.71,BR,2.26,2.97,BR,0.55,0.59
BR,0.71,0.77,UL,2.97,3,UL,0.59,0.97
UL,0.77,0.9,BR,3,3.12,WA,0.97,1.56
BR,1.9,1.97,UL,3.12,3.25,BR,1.56,1.94
UL,1.97,2.27,BR,3.25,3.29,UL,1.94,2.33
BR,2.27,2.4,UL,3.29,3.33,BR,2.33,2.51
UL,2.4,2.46,UA,3.33,3.4,UL,2.51,2.59
BR,2.46,2.53,UL,3.4,3.64,BR,2.59,2.63
UL,2.53,2.58,BR,3.64,3.84,UL,2.63,2.67
BR,2.58,2.66,UL,3.84,3.96,BR,2.67,2.69
UL,2.66,4.92,BR,3.96,4.01,UL,2.69,2.73
BR,4.92,4.97,UL,4.01,4.07,BR,2.73,3
UL,4.97,5.1,BR,4.07,4.15,SB,3,3.02
AN,5.1,5.34,UL,4.15,4.3,BR,3.02,3.57
OI,5.34,5.35,BR,4.3,4.57,SB,3.57,3.58
BR,5.35,5.38,UL,4.57,4.66,BR,3.58,3.88
UL,5.38,5.5,BR,4.66,5.08,SB,3.88,3.9
BR,5.5,5.6,UL,5.08,5.17,BR,3.9,4.02
AN,5.6,5.72,BR,5.17,5.44,UL,4.02,4.12
UL,5.72,5.99,UL,5.44,5.54,BR,4.12,4.3
BR,5.99,6,BR,5.54,5.63,UL,4.3,4.36
OI,6,6.01,UL,5.63,5.83,BR,4.36,4.38
UL,6.01,6.37,SB,5.83,6.03,SB,4.38,4.4
BR,6.37,6.39,BR,6.03,6.3,BR,4.4,4.43
OI,6.39,6.4,SB,6.3,6.31,UL,4.43,4.46
OI,6.4,6.41,BR,6.31,6.57,BR,4.46,4.49
BR,6.41,6.43,SB,6.57,6.59,UL,4.49,5.02
UL,6.43,6.92,BR,6.59,6.7,SB,5.02,5.03
BR,6.92,6.97,SB,6.7,6.74,BR,5.03,5.09
AN,6.97,7.01,BR,6.74,7.09,UL,5.09,5.31
UL,7.01,7.52,SB,7.09,7.11,BR,5.31,5.46
BR,7.52,7.61,BR,7.11,7.22,UL,5.46,5.61
AN,7.61,7.85,SB,7.22,7.24,BR,5.61,5.69
BR,7.85,7.96,BR,7.24,7.33,SB,5.69,5.71
FS,7.96,7.99,UL,7.33,7.85,BR,5.71,6.06
BR,7.99,8.04,SB,7.85,7.9,UL,6.06,6.29
AN,8.04,8.24,UL,7.9,8.17,BR,6.29,6.47
UL,8.24,8.43,AN,8.17,8.52,SB,6.47,6.49
OI,8.43,8.44,BR,8.52,8.55,BR,6.49,6.51
UL,8.44,8.49,UL,8.55,9.15,SB,6.51,6.54
FS,8.49,8.52,BR,9.15,9.18,BR,6.54,6.55
BR,8.52,8.58,SB,9.18,9.19,SB,6.55,6.56
OI,8.58,8.59,UL,9.19,9.51,BR,6.56,6.72
BR,8.59,8.76,SB,9.51,9.56,SB,6.72,6.73
AN,8.76,9.24,UL,9.56,9.65,BR,6.73,6.79
MS,9.24,10.45,BR,9.65,9.66,SB,6.79,6.8
AN,10.45,10.63,UL,9.66,9.82,BR,6.8,6.9
MS,10.63,10.7,AN,9.82,10.12,UL,6.9,7.24
FD,10.7,10.83,BR,10.12,10.14,BR,7.24,7.26
UL,10.83,10.9,UL,10.14,10.73,UL,7.26,7.42
FD,10.9,11.16,AN,10.73,10.76,BR,7.42,8.11
BR,11.16,11.2,UL,10.76,10.79,AN,8.11,8.5
OI,11.2,11.21,AN,10.79,10.9,UL,8.5,8.52
UL,11.21,11.39,BR,10.9,10.96,AN,8.52,9.14
AN,11.39,11.6,AN,10.96,11.38,UL,9.14,9.2
MS,11.6,11.64,UL,11.38,11.48,WA,9.2,9.74
FD,11.64,11.66,FD,11.48,11.64,AN,9.74,10.12
MS,11.66,11.71,BR,11.64,11.65,VL,10.12,10.2
FD,11.71,11.72,FD,11.65,11.74,AN,10.2,10.38
MS,11.72,11.81,UL,11.74,11.78,FR,10.38,10.54
F,11.81,11.99,AN,11.78,12.32,MS,10.54,10.64
AN,11.99,12.04,FD,12.32,12.42,F,10.64,10.66
F,12.04,12.08,MS,12.42,12.44,MS,10.66,10.75
MS,12.08,12.12,AN,12.44,12.6,AN,10.75,10.99
F,12.12,12.33,UL,12.6,12.7,MS,10.99,11.05
BR,12.33,12.42,FD,12.7,12.82,AN,11.05,11.15
F,12.42,12.52,AN,12.82,12.94,F,11.15,11.19
AN,12.52,12.65,FD,12.94,12.98,MS,11.19,11.23
MS,12.65,12.68,MS,12.98,13.1,SB,11.23,11.24
F,12.68,12.7,UL,13.1,13.25,AN,11.24,11.28
AN,12.7,12.78,FD,13.25,13.4,UL,11.28,11.56
F,12.78,12.82,AN,13.4,13.61,BR,11.56,11.62
MS,12.82,12.84,FD,13.61,13.9,SB,11.62,11.64
F,12.84,13.01,BR,13.9,13.95,BR,11.64,11.66
UL,13.01,13.14,FD,13.95,13.98,SB,11.66,11.69
F,13.14,13.5,BR,13.98,14,BR,11.69,11.73
AN,13.5,13.74,FD,14,14.06,SB,11.73,11.75
UL,13.74,13.76,UL,14.06,14.12,BR,11.75,11.82
F,13.76,13.83,FD,14.12,14.19,SB,11.82,11.83
AN,13.83,13.9,UL,14.19,14.31,BR,11.83,12.2
VL,13.9,13.94,FD,14.31,14.34,SB,12.2,12.23
MS,13.94,14,UL,14.34,14.49,BR,12.23,12.27
F,14,14.09,AN,14.49,14.75,SB,12.27,12.28
MS,14.09,14.11,FD,14.75,14.96,BR,12.28,12.33
F,14.11,14.2,UL,14.96,15.08,SB,12.33,12.35
MS,14.2,14.22,FD,15.08,15.17,BR,12.35,12.4
F,14.22,14.75,UL,15.17,15.26,SB,12.4,12.41
MS,14.75,14.81,FD,15.26,15.44,BR,12.41,12.47
F,14.81,14.83,MS,15.44,15.49,UL,12.47,12.63
MS,14.83,14.92,FD,15.49,15.55,BR,12.63,12.67
BR,14.92,14.94,MS,15.55,15.58,UL,12.67,12.71
UL,14.94,14.96,FD,15.58,15.73,AN,12.71,12.8
F,14.96,15.38,UL,15.73,15.84,BR,12.8,12.83
UL,15.38,15.41,FD,15.84,15.9,SB,12.83,12.84
F,15.41,15.66,MS,15.9,15.91,UL,12.84,12.87
BR,15.66,15.71,FD,15.91,16.19,BR,12.87,12.99
F,15.71,15.74,MS,16.19,16.21,UL,12.99,13.2
UL,15.74,15.77,FD,16.21,16.34,BR,13.2,13.23
F,15.77,16.6,UL,16.34,16.36,SB,13.23,13.24
MS,16.6,16.66,BR,16.36,16.4,UL,13.24,13.34
F,16.66,16.9,FD,16.4,16.42,BR,13.34,13.37
MS,16.9,16.97,ME,16.42,16.43,F,13.37,13.5
F,16.97,17.1,FD,16.43,16.59,BR,13.5,13.57
MS,17.1,17.18,UL,16.59,16.65,UL,13.57,13.74
F,17.18,17.32,FD,16.65,16.71,F,13.74,13.79
UA,17.32,17.4,MS,16.71,16.73,UL,13.79,13.83
F,17.4,17.79,FD,16.73,17.7,BR,13.83,13.92
,,,,,,AN,13.92,13.97
,,,,,,UL,13.97,14.04
,,,,,,MS,14.04,14.1
,,,,,,F,14.1,14.13
,,,,,,UL,14.13,14.15
,,,,,,F,14.15,14.2
,,,,,,MS,14.2,14.23
,,,,,,F,14.23,14.7
,,,,,,F,14.7,15.8
,,,,,,MS,15.8,15.83
,,,,,,F,15.83,16.04
,,,,,,MS,16.04,16.07
,,,,,,F,16.07,17.3
,,,,,,OA,17.3,17.4
,,,,,,CO,17.4,17.47
,,,,,,OA,17.47,17.5
,,,,,,MS,17.5,17.63
,,,,,,OA,17.63,17.69
,,,,,,MS,17.69,17.79
,,,,,,OA,17.79,17.88
,,,,,,MS,17.88,18.02
,,,,,,OA,18.02,18.09
,,,,,,MS,18.09,18.24
,,,,,,OA,18.24,18.28
