Field Station,Data Collection Site,Latitude,Longitude,Date,Time,Tide,Quadrat,Species Name,Species Code,Canopy cover (0-25),Substrate Cover,# per quadrat
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,0,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,3,Knotted wrack (Ascophyllum nodosum),AscoCC,1,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,6,Knotted wrack (Ascophyllum nodosum),AscoCC,12,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,9,Knotted wrack (Ascophyllum nodosum),AscoCC,4,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,12,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,15,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,18,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,21,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,24,Knotted wrack (Ascophyllum nodosum),AscoCC,7,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,27,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,0,Knotted wrack (Ascophyllum nodosum),AscoCC,23,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,3,Knotted wrack (Ascophyllum nodosum),AscoCC,11,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,6,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,9,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,12,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,15,Knotted wrack (Ascophyllum nodosum),AscoCC,6,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,18,Knotted wrack (Ascophyllum nodosum),AscoCC,6,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,21,Knotted wrack (Ascophyllum nodosum),AscoCC,22,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,24,Knotted wrack (Ascophyllum nodosum),AscoCC,4,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,27,Knotted wrack (Ascophyllum nodosum),AscoCC,25,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,0,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,3,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,6,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,9,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,12,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,15,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,18,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,21,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,24,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-12-2017,,H,27,Knotted wrack (Ascophyllum nodosum),AscoCC,0,,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,0,Irish moss (Chondrus crispus),ChonCrSC,,12,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,3,Irish moss (Chondrus crispus),ChonCrSC,,2,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,6,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,9,Irish moss (Chondrus crispus),ChonCrSC,,6,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,12,Irish moss (Chondrus crispus),ChonCrSC,,17,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,15,Irish moss (Chondrus crispus),ChonCrSC,,11,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,18,Irish moss (Chondrus crispus),ChonCrSC,,6,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,21,Irish moss (Chondrus crispus),ChonCrSC,,14,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,24,Irish moss (Chondrus crispus),ChonCrSC,,3,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-14-2017,,Low,27,Irish moss (Chondrus crispus),ChonCrSC,,7,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,0,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,3,Irish moss (Chondrus crispus),ChonCrSC,,5,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,6,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,9,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,12,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,15,Irish moss (Chondrus crispus),ChonCrSC,,0,
Edward McC. Blair Marine Research Station (MDR),East,43.99055556,-68.29611111,08-13-2017,,M,18,Irish moss (Chondrus crispus),ChonCrSC,,0,
